headline,gpt4o,labels
We Bet You Can't Name All 30 NHL Teams In 5 Minutes,1,1
29 Photos Guaranteed To Make 'Simpsons' Fans Laugh Every Time,1,1
23 Situations Everyone Who Grew Up Shy Will Understand,1,1
Can You Name These '90s Games From A Single Screenshot,1,1
These Horrifyingly Satisfying Photos Of 'Baby Foot' Will Haunt You,1,1
14 Things You Did To Look Cool As Teens That Aren't Cool Now,1,1
Can You And Your Family Finish This Freestyle Crossword,1,1
14 Graphs That Are Too Real For Any Student With Social Anxiety,1,1
Australian Senator arrives at Parliament dressed as a beer bottle,1,0
"Have them all shot': BBC gets 21,000+ complaints over Jeremy Clarkson's public sector striker comments",1,0
"A Madoff Cookbook Has a Secret, Too",1,0
"6-year-old boy in Colorado found alive, unhurt after runaway balloon allegedly carried him away",1,0
"Bigfoot' hunters claim to have found corpse of mythical creature in Georgia, USA",1,0
Chris Benoit mystery editor confesses: claims 'terrible coincidence,1,0
A Growth Area for Law Firms: Bankruptcy,0,0
Michigan Holds Off Frantic Finish by Clemson,0,0
Election complaint against Fred Thompson,0,0
.tel top-level domain launched,0,0
"Official Myanmar death toll increases to 78,000",0,0
Search underway after US B-52 bomber crashes off Guam's coast,0,0
"To Track Tigers, Software That Knows Them by Their Stripes",0,0
US TV host Conan O'Brien rejects NBC's offer to switch his show's time slot,0,0
"McDonald's unfairly dismissed worker for giving a colleague free cheese, says Dutch court",0,0
US Secret Service officer arrested during prostitution sting,0,0
Bank Worries Keep Pulling Markets Back,0,0
Cellphones as Credit Cards? Americans Must Wait,0,0
Southern Gaza hit by new Israeli air strikes,0,0
Rain Makes Dustin Johnson a Winner at Pebble Beach,0,0
West Virginia governor names Carte Goodwin as new Senator,0,0
Officials Still Arguing Over Leader for Somalia,0,0
Heavy earthquake hits the Philippines,0,0
"On a Campus in Bulgaria, Every Reason for Optimism",0,0
Iran Council Certifies Ahmadinejad Victory,0,0
Blu-ray prevails in high definition disc war,0,0
Sailors freed after being captured in Nigeria,0,0
Officials report 29 rebels killed in Yemen after clashes,0,0
Judge Ends Monitor of the Los Angeles Police,0,0
Names of Australians killed in helicopter crash released,0,0
"A Mobster Trial, and a Flash of a Violent Past",0,0
Cricket: India beat England in second one-day international,0,0
California Warns of Layoffs at Schools,0,0
Bristol campaigners: words by council are 'weasel words',0,0
Japanese probe snatches first asteroid sample,0,0
"UN: Ethiopian GDP grew only 1.7% in 2009, may not reach anti-poverty goals",0,0
Technology giants battle for USB 3.0 standards,0,0
Judge in Nebraska says thou shalt not sue God,0,0
Nobel Peace Prize awarded to Kenyan environmental activist,0,0
Evo Morales wins presidential elections in Bolivia,0,0
BBC begins trial program allowing legal TV and radio downloads,0,0
Two Palestinians reportedly shot dead by Israeli troops,0,0
Fortieth anniversary of first manned Moon landing,0,0
"Chinese earthquake: Death toll reaches almost 15,000 as 'dangerous' cracks found in dam near city",0,0
"Cabrera, Once a Poor Caddie, Is Part of a Marquee Threesome",0,0
Finnish female politicians highlighted by World Bank's 2012 gender report,0,0
Three Yemeni troops killed in shooting,0,0
Tensions rise between North Korea and United States,0,0
Research in Motion to launch new tablet device,0,0
"Couples thrashed for sitting in a park in Meerut, India",0,0
